2,13,10,40,"A876_50nA_20um_146.4_spot-1"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.0381693775474735,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A876_50nA_20um_146.4_spot-2"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.03978865155083266,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A876_50nA_20um_146.4_spot-3"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.03464726618095294,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A876_50nA_20um_146.4_spot-4"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.03942878805283053,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A876_50nA_20um_146.4_spot-5"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.03411628556611997,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
2,13,10,40,"A876_50nA_20um_146.4_spot-6"
1,"h","",0,"","",""
"n","ka",1,0,608,"",0.023022873548321755,0
"h","",2,1,"","",0,0
"Si","",1,2,"",29.635373966244096,0,0
"Ti","",1,2,"",0.13784886647350933,0,0
"Al","",2,3,"",7.293074551950488,0,0
"Fe","",1,1,"",0.007773048421310499,0,0
"Mn","",1,1,"",0.007744576352047844,0,0
"Mg","",1,1,"",0.15678933317454172,0,0
"Ca","",1,1,"",0.757572212691744,0,0
"Na","",2,1,"",4.006030370961491,0,0
"K","",2,1,"",1.984053186971846,0,0
"P","",2,5,"",0.013092619805363111,0,0
"o","",1,0,"","",0,0
